,Authority,Event-code,Description ENG
1761,EP,NLR4,NL: RECEIPT OF CORRECTED TRANSLATION IN THE NETHERLANDS LANGUAGE AT THE INITIATIVE OF THE PROPRIETOR OF THE PATENT
1814,EP,PLBE,NO OPPOSITION FILED WITHIN TIME LIMIT
1816,EP,PLBG,OPPOSITION DEEMED NOT TO HAVE BEEN FILED
1817,EP,PLBH,OPPOSITION DEEMED NOT TO HAVE BEEN FILED
1819,EP,PLBJ,OPPOSITION FOUND INADMISSIBLE
1820,EP,PLBK,OPPOSITION FOUND INADMISSIBLE
1823,EP,PLBN,OPPOSITION REJECTED
1824,EP,PLBO,OPPOSITION REJECTED
1825,EP,PLBP,OPPOSITION WITHDRAWN
1828,EP,PLBS,REJECTION OF THE REQUEST FOR REVOCATION TAKES LEGAL EFFECT
1854,EP,PLCS,REQUEST FOR LIMITATION OF PATENT DEEMED NOT FILED
1856,EP,PLCU,REQUEST FOR LIMITATION OF PATENT FOUND INADMISSIBLE
1857,EP,PLCV,REQUEST FOR LIMITATION OF PATENT REJECTED
1858,EP,PLCW,REQUEST FOR LIMITATION OF PATENT WITHDRAWN
1917,EP,R26D,OPPOSITION DEEMED NOT TO HAVE BEEN FILED (CORRECTED)
1919,EP,R26U,OPPOSITION FOUND INADMISSIBLE (CORRECTED)
1920,EP,R27A,PATENT MAINTAINED IN AMENDED FORM (CORRECTED)
1922,EP,R27O,INFORMATION RELATED TO THE REJECTION OF OPPOSITION MODIFIED: OPPOSITION REJECTED
1932,EP,RA4,SUPPLEMENTARY SEARCH REPORT DRAWN UP AND DESPATCHED (CORRECTED)
1942,EP,RB1,B1 DOCUMENT PUBLISHED (CORRECTED)
1943,EP,RB2,B2 DOCUMENT PUBLISHED (CORRECTED)
1944,EP,RBV,DESIGNATED CONTRACTING STATES (CORRECTED)
1961,EP,RJL1,REQUEST FOR LIMITATION REJECTED [SUBSTANTIVE REFUSAL]
1962,EP,RJL2,REQUEST FOR LIMITATION REJECTED AS INADMISSIBLE FOR FORMAL REASONS
1963,EP,RJL3,REQUEST FOR LIMITATION REJECTED DUE TO NO OR LATE REPLY TO SUBSET REPORT
1964,EP,RJL4,REQUEST FOR LIMITATION REJECTED BECAUSE RALL (REQUEST ALLOWED) REQUIREMENTS NOT FULFILLED
1968,EP,RVAD,REVOCATION REQUEST IS DEEMED NOT FILED ART. 105A (FOR REVOCATION FILED AFTER OPPOSITION PERIOD)
1969,EP,RVAI,REVOCATION REQUEST IS INADMISSIBLE ART. 105A (FOR REVOCATION FILED AFTER  OPPOSITION PERIOD)
1971,EP,RVDD,REVOCATION REQUEST IS DEEMED NOT FILED ART. 105A  (FOR REVOCATION FILED DURING OPPOSITION PERIOD)
1972,EP,RVDI,REVOCATION REQUEST IS INADMISSIBLE ART. 105A  (FOR REVOCATION FILED DURING OPPOSITION PERIOD)
1975,EP,SC4A,PT: TRANSLATION IS AVAILABLE
1977,EP,T1,DK: TRANSLATION OF THE CLAIMS OF EP PATENT
1979,EP,T3,DK: TRANSLATION OF EP PATENT
1980,EP,T4,DK: TRANSLATION OF AMENDED EP PATENT
1981,EP,T5,DK: CORRECTED TRANSLATION OF EP PATENT
1982,EP,TCAT,AT: TRANSLATION OF PATENT CLAIMS FILED
1983,EP,TCNL,NL: TRANSLATION OF PATENT CLAIMS FILED
1989,EP,U01,REQUEST FOR UNITARY EFFECT FILED
2067,ES,CB1K,OPPOSITION SUSPENDED
2104,ES,PC1K,TRANSFER OF UTILITY MODEL
2105,ES,PC2A,TRANSFER OF PATENT
2113,ES,RD2A,SEIZURE OF PATENT FREED
2127,ES,SPCN,REQUEST FOR RESTORATION [SUPPLEMENTARY PROTECTION CERTIFICATE]
2142,FI,CC,OPPOSITION REJECTED
2179,FI,NG,OPPOSITION WITHDRAWN
2195,FI,SPCP,EXTENSION OF A SUPPLEMENTARY PROTECTION CERTIFICATE [PEDIATRIC EXTENSION]
2197,FI,SPCX,SUPPLEMENTARY PROTECTION CERTIFICATE: CORRECTION
2235,FR,DA,ANNULMENT OF DECISION OF LAPSE
2250,FR,EL,TRANSLATION OF CLAIMS FILED
2254,FR,EXTE,EXTENSION TO A FRENCH TERRITORY
2285,FR,RC,OPPOSITION AGAINST DECISION OF LAPSE
2304,FR,SPAY,ANNUAL FEE FOR SPC PAID [SUPPLEMENTARY PROTECTION CERTIFICATE]
2325,FR,SPCY,REQUEST FOR EXTENSION OF A SUPPLEMENTARY PROTECTION CERTIFICATE FOR MEDICATION
2336,GB,152R,RESTORATION OF PATENT. RULE 152
2383,GB,427B,ORDER MADE RESTORING THE PATENT (SECT. 27/1949)
2446,GB,430X,TREATED AS WITHDRAWN (SECT. 30/1949)
2646,GB,728A,ORDER MADE RESTORING THE PATENT (SECT. 28/1977)
2899,GB,PCPE,DELETE 'PATENT CEASED' FROM JOURNAL
2910,GB,RCOR,"CORRECTION TO FORMER NOTICE OF VOID, REVOKED, CEASED OR EXPIRED PATENT"
2967,GR,PP,EP - PROVISIONAL PROTECTION
3027,HR,NOST,RECOGNITION [IP RIGHT]
3047,HR,PPNO,PROPOSAL FOR THE DECLARATION OF NULLITY OF A PATENT REJECTED/REFUSED
3067,HR,ZALO,APPEAL REJECTED/WITHDRAWN /REFUSED
3071,HU,AG4A,FILING OF THE TRANSLATION OF THE TEXT OF EUROPEAN PATENTS
3073,HU,AG4F,SUBMISSION OF A TRANSLATION OF THE TEXT OF AN AMENDED EUROPEAN PATENT
3074,HU,AG4K,SUBMISSION OF A TRANSLATION OF THE TEXT OF A LIMITED EUROPEAN PATENT
3135,HU,QB4A,EXPLOITATION CONTRACT
3182,IE,SPCE,REQUEST FOR EXTENSION OF SUPPLEMENTARY PROTECTION CERTIFICATE FILED [PAEDIATRIC EXTENSION]
3208,IL,EXTH,PATENT EXTENSION ORDER CORRECTED (SECT. 64P(2))
3210,IL,EXTN,EXTENSION ORDER RENEWED
3222,IL,KB,PATENT RENEWED
3223,IL,KB20,PATENT RENEWED FOR 20 YEARS
3236,IL,PEL,INTENTION OF COMMISSIONER TO EXTEND PERIOD OF PROTECTION
3259,IT,SPCF,SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) FILED
3305,JP,AA23,NOTIFICATION OF UTILITY MODEL REGISTRABILITY
3376,JP,R250,RECEIPT OF ANNUAL FEES
3396,JP,RD99,WRITTEN REQUEST FOR REGISTRATION OF RESTORE
3428,JP,SG99,WRITTEN REQUEST FOR REGISTRATION OF RESTORE
3532,KR,J021,TRIAL FOR OBJECTION TO REVOCATION DECISION [PATENT]: REQUEST FOR TRIAL
3607,KR,O135,DECISION ON OPPOSITION [PATENT]: WITHDRAWAL OF OPPOSITION
3665,KR,U12,DESIGNATION FEE PAID
3711,LT,ND9D,FILING A SUPPLEMENTARY PROTECTION CERTIFICATE
3724,LT,SPCE,FILING AN EXTENSION OF AN SPC (FOR PAEDIATRIC MEDICAMENTS)
3740,LU,CCP,SUPPLEMENTARY PROTECTION CERTIFICATE
3741,LU,CCPY,SUPPLEMENTARY PROTECTION CERTIFICATE FOR PLANT PROTECTION
3759,LU,SPCE,FILING FOR A PAEDIATRIC EXTENSION OF A SUPPLEMENTARY PROTECTION CERTIFICATE
3760,LU,SPCF,SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) FILED
3767,LU,TA,ANNUAL FEE
3775,MD,1K4A,PAYMENT OF ANNUAL FEES
3800,MD,IF99,VALID PATENT ON 19990615
3814,MD,ND4K,EXTENSION OF THE VALIDITY TERM [UTILITY MODEL]
