,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
2990,HK,CO,,CORRECTION OF SPECIFICATION,CORRECTION OF SPECIFICATION,,,NEUTRAL,False
2991,HK,COPC,-,"CORRECTION OF SPECIFICATION, PATENT CEASED IN MEANTIME","CORRECTION OF SPECIFICATION, PATENT CEASED IN MEANTIME",,,DEAD,False
2992,HK,COPE,-,"CORRECTION OF SPECIFICATION, PATENT EXPIRED IN MEANTIME","CORRECTION OF SPECIFICATION, PATENT EXPIRED IN MEANTIME",,,DEAD,False
2993,HK,COPF,+,"CORRECTION OF SPECIFICATION, PATENT STILL IN FORCE","CORRECTION OF SPECIFICATION, PATENT STILL IN FORCE",,,ALIVE,False
2994,HK,CORR,,CORRIGENDUM,CORRIGENDUM,Y,CORRECTION AND DELETION OF EVENT INFORMATION,NEUTRAL,False
2995,HK,DE,,REQUESTS TO DESIGNATE PATENT IN HONG KONG,REQUESTS TO RECORD PUBLISHED IN HONG KONG,W,OTHER,NEUTRAL,False
2996,HK,GR,+,STANDARD PATENTS GRANTED IN HONG KONG,STANDARD PATENTS GRANTED IN HONG KONG,F,IP RIGHT GRANT,ALIVE,False
2997,HK,NR,-,PATENT DEEMED NEVER TO HAVE BEEN ADDED TO THE REGISTER UNDER SECTION 13(7) OF PATENTS (TRANSITIONAL ARRANGEMENTS) RULES,PATENT DEEMED NEVER TO HAVE BEEN ADDED TO THE REGISTER UNDER SECTION 13(7) OF PATENTS (TRANSITIONAL ARRANGEMENTS) RULES,W,OTHER,UNKNOWN,False
2998,HK,PC,-,PATENT CEASED (I.E. PATENT HAS LAPSED DUE TO THE FAILURE TO PAY THE RENEWAL FEE),PATENT CEASED (I.E. PATENT HAS LAPSED DUE TO THE FAILURE TO PAY THE RENEWAL FEE),H,IP RIGHT CESSATION,DEAD,False
2999,HK,PE,-,PATENT EXPIRED,PATENT EXPIRED,H,IP RIGHT CESSATION,DEAD,False
3000,HK,PEU,-,SHORT-TERM PATENTS EXPIRED,SHORT-TERM PATENTS EXPIRED,H,IP RIGHT CESSATION,DEAD,False
3001,HK,PF,+,PATENT IN FORCE,PATENT IN FORCE,W,OTHER,ALIVE,False
3002,HK,PF1,-,PATENT CEASED TO HAVE EFFECT UNDER S.39(2) (NON PAYMENT OF MAINTENANCE FEE AND HAS 6-MONTH GRACE PERIOD TO PAY),PATENT CEASED TO HAVE EFFECT UNDER S.39(2) (NON PAYMENT OF MAINTENANCE FEE AND HAS 6-MONTH GRACE PERIOD TO PAY),,,DEAD,False
3003,HK,PF2,-,SHORT-TERM PATENT CEASED TO HAVE EFFECT UNDER S.126(2) (NOT PAYMENT OF MAINTENANCE FEE AND HAS 6-MONTH GRACE PERIOD TO PAY),SHORT-TERM PATENT CEASED TO HAVE EFFECT UNDER S.126(2) (NOT PAYMENT OF MAINTENANCE FEE AND HAS 6-MONTH GRACE PERIOD TO PAY),H,IP RIGHT CESSATION,DEAD,False
3004,HK,PR,-,PATENT REVOKED,PATENT REVOKED,H,IP RIGHT CESSATION,DEAD,False
3005,HK,PS,-,PATENT SURRENDERED,PATENT SURRENDERED,H,IP RIGHT CESSATION,DEAD,False
3006,HK,REV,-,REVOCATION AFTER OPPOSITION,REVOCATION AFTER OPPOSITION,H,IP RIGHT CESSATION,DEAD,False
3007,HK,REVC,-,REVOCATION BY COURT ORDER,REVOCATION BY COURT ORDER,H,IP RIGHT CESSATION,DEAD,False
3008,HK,S146,,CORRECTION OF ERRORS IN PATENTS AND APPLICATIONS UNDER SECTION 146 OF THE PATENTS ORDINANCE,CORRECTION OF ERRORS IN PATENTS AND APPLICATIONS UNDER SECTION 146 OF THE PATENTS ORDINANCE,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3009,HK,SURR,,SURRENDER OF PATENT,SURRENDER OF PATENT,,,NEUTRAL,False
3010,HK,WD,-,"APPLICATIONS WITHDRAWN, DEEMED TO BE WITHDRAWN, OR REFUSED AFTER PUBLICATION IN HONG KONG","APPLICATIONS WITHDRAWN, DEEMED TO BE WITHDRAWN, OR REFUSED AFTER PUBLICATION IN HONG KONG",B,APPLICATION DISCONTINUATION,DEAD,False
3011,HR,A1OB,+,PUBLICATION OF A PATENT APPLICATION,OBJAVA PRIJAVA PATENATA,Q,DOCUMENT PUBLICATION,PENDING,False
3012,HR,A8IS,,CORRECTED FRONT PAGE OF AN HR-A DOCUMENT,ISPRAVAK PREDNJE STRANE HR-A DOKUMENTA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3013,HR,A9IS,,COMPLETE REPUBLICATION OF AN HR-A DOCUMENT,KOMPLETNI REPRINT HR-A DOKUMENTA,Q,DOCUMENT PUBLICATION,PENDING,False
3014,HR,AIPI,+,REQUEST FOR THE GRANT OF A PATENT ON THE BASIS OF A SUBSTANTIVE EXAMINATION OF A PATENT APPLICATION,ZAHTJEV ZA PRIZNANJE PATENATA PROVEDBOM POSTUPKA POTPUNOG ISPITIVANJA PRIJAVA PATENATA,D,SEARCH AND EXAMINATION,ALIVE,False
3015,HR,AIPK,+,REQUEST FOR THE GRANT OF A PATENT ON THE BASIS OF A SUBSTANTIVE EXAMINATION OF A PATENT APPLICATION AFTER GRANT OF CONSENSUAL PATENT,ZAHTJEV ZA PRIZNANJE PATENATA PROVEDBOM POSTUPKA POTPUNOG ISPITIVANJA PRIJAVA PATENATA NAKON PRIZNANJA KONSENZUALNOG PATENTA,D,SEARCH AND EXAMINATION,ALIVE,False
3016,HR,AKOB,+,PUBLICATION OF A REQUEST FOR THE GRANT OF A PATENT NOT INCLUDING A SUBSTANTIVE EXAMINATION OF A PATENT APPLICATION (A CONSENSUAL PATENT),OBJAVA ZAHTJEVA ZA PRIZNANJE PATENATA BEZ POTPUNOG ISPITIVANJA PRIJAVA PATENATA (KONSENZUALNI PATENTI),D,SEARCH AND EXAMINATION,ALIVE,False
3017,HR,ARAI,+,REQUEST FOR THE GRANT OF A PATENT ON THE BASIS OF THE SUBMITTED RESULTS OF A SUBSTANTIVE EXAMINATION OF A PATENT APPLICATION,ZAHTJEV ZA PRIZNANJE PATENATA NA TEMELJU PODNESENIH REZULTATA POTPUNOG ISPITIVANJA PRIJAVA PATENATA,D,SEARCH AND EXAMINATION,ALIVE,False
3018,HR,B1PR,+,PATENT GRANTED,PATENT PRIZNAT,F,IP RIGHT GRANT,ALIVE,True
3019,HR,B2IS,,COMPLETE REPUBLICATION OF HR-B DOCUMENT AFTER NULLIFICATION/SURRENDER,KOMPLETNI REPRINT HR-B DOKUMENTA NAKON POSTUPKA PONISTAJA/ODRICANJA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
