,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
1267,DE,R453,,DECISION OF THE PATENT DIVISION/THE FEDERAL PATENT COURT ON THE CONCLUSION OF THE OPPOSITION PROCEEDINGS HAS BECOME FINAL,RECHTSKRAFT DES BESCHLUSSES DER PATENTABTEILUNG/ DES BUNDESPATENTGERICHTES UEBER DIE BEENDIGUNG DES EINSPRUCHSVERFAHRENS,L,IP RIGHT REVIEW REQUEST,NEUTRAL,False
1268,DE,R454,,DECISION BY THE PATENT DIVISION ON GRANTING THE APPLICATION FOR AN EXTENSION OF THE DURATION (MEDICINAL PRODUCTS FOR PAEDIATRIC USE),BESCHLUSS DER PATENTABTEILUNG UEBER DIE BEWILLIGUNG DES ANTRAGS AUF VERLAENGERUNG DER LAUFZEIT (KINDERARZNEIMITTEL),G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1269,DE,R455,-,DECISION BY THE PATENT DIVISION ON REJECTING THE APPLICATION FOR AN EXTENSION OF THE DURATION (MEDICINAL PRODUCTS FOR PAEDIATRIC USE),BESCHLUSS DER PATENTABTEILUNG UEBER DIE ZURUECKWEISUNG DES ANTRAGS AUF VERLAENGERUNG DER LAUFZEIT (KINDERARZNEIMITTEL),G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1270,DE,R456,,DECISION BY PATENT DIVISION TO GRANT REQUEST FOR RECTIFICATION OF SUPPLEMENTARY PROTECTION CERTIFICATE TERM,BESCHLUSS DER PATENTABTEILUNG UEBER DIE BEWILLIGUNG DES ANTRAGS AUF BERICHTIGUNG DER LAUFZEIT,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
1271,DE,R457,,APPLICATION FOR THE RECTIFICATION OF THE DURATION REJECTED BY THE PATENT DECISION,BESCHLUSS DER PATENTABTEILUNG UEBER DIE ZURUECKWEISUNG DES ANTRAGS AUF BERICHTIGUNG DER LAUFZEIT,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1272,DE,SH,+,REQUEST FOR EXAMINATION BETWEEN 03.10.1968 AND 22.04.1971,PRUEFUNGSANTRAG ZWISCHEN 681003 UND 710422,,,PENDING,False
1273,DE,SPC0,,APPEAL PROCEEDINGS SETTLED BY WITHDRAWAL OF APPEAL(S) OR IN SOME OTHER WAY FOR A SUPPLEMENTARY PROTECTION CERTIFICATE (SPC),BESCHWERDEVERFAHREN DURCH ZURUECKNAHME DER BESCHWERDE(N) ODER AUF ANDERE WEISE ERLEDIGT FUER EIN ESZ,V,APPEAL,NEUTRAL,False
1274,DE,SPC2,-,REFUSAL DECISION IN REGISTRATION PROCEEDINGS FOR A SUPPLEMENTARY PROTECTION CERTIFICATE (SPC),ZURUECKWEISUNGSBESCHLUSS IM EINTRAGUNGSVERFAHREN FUER EIN ESZ,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
1275,DE,SPC3,-,REFUSAL DECISION NOW FINAL FOR A SUPPLEMENTARY PROTECTION CERTIFICATE (SPC),RECHTSKRAFT DES ZURUECKWEISUNGSBESCHLUSSES FUER EIN ESZ,G,PROTECTION BEYOND IP RIGHT TERM,DEAD,False
1276,DE,SPC6,,APPEAL FILED TO A SUPPLEMENTARY PROTECTION CERTIFICATE (SPC),BESCHWERDE IST EINGEGANGEN ZU EINEM ESZ,V,APPEAL,NEUTRAL,False
1277,DE,SPC8,,CASE PENDING AT FEDERAL PATENT COURT (FOR A SUPPLEMENTARY PROTECTION CERTIFICATE),AKTE ZU EINEM ESZ BEIM BPATG ANHAENGIG,,,NEUTRAL,False
1278,DE,V448,+,APPLICATION OF SPC,ZERTIFIKAT BEANTRAGT,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1279,DE,V454,,SPC APPLICATION WITHDRAWN OR TO BE REGARDED AS WITHDRAWN,ANMELDUNG DES ZERTIFIKATS WURDE ZURUECKGENOMMEN ODER GILT ALS ZURUECKGENOMMEN,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1280,DE,V455,,RENUNCIATION OF SPC,AUF DAS ZERTIFIKAT WURDE VERZICHTET,H,IP RIGHT CESSATION,NEUTRAL,False
1281,DE,V457,+,SPC GRANTED,ZERTIFIKAT ERTEILT,G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
1282,DE,V460,,REQUEST OF ANNULATION FOR SPC,NICHTIGKEITSKLAGE AUF ZERTIFIKAT ERHOBEN,L,IP RIGHT REVIEW REQUEST,NEUTRAL,False
1283,DE,V463,+,APPLICATION OF ANNULATION FOR SPC REVOKED OR REFUSED BY LAW ORDER,NICHTIGKEITSKLAGE FUER ZERTIFIKAT ZURUECKGENOMMEN ODER RECHTSKRAEFTIG ZURUECKGEWIESEN,L,IP RIGHT REVIEW REQUEST,PENDING,False
1284,DE,V464,-,SPC EXPIRED,ZERTIFIKAT DURCH ZEITABLAUF ERLOSCHEN,H,IP RIGHT CESSATION,DEAD,False
1285,DE,V465,-,SPC LAPSED DUE TO NONPAYMENT OF THE ANNUAL FEE,ZERTIFIKAT ERLOSCHEN WEGEN NICHTZAHLUNG DER JAHRESGEBUEHR,H,IP RIGHT CESSATION,DEAD,False
1286,DE,V472,,APPLICATION FOR SUPPLEMENTARY PROTECTION CERTIFICATE REJECTED,ZURUECKWEISUNG DER ZERTIFIKATSANMELDUNG,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1287,DE,V484,,DELIVERY OF THE DECISION OF GRANT,ZUSTELLUNGS DES ERTEILUNGSBESCHLUSSES,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
1288,DE,V491,-,SPC ANNULLED,ZERTIFIKAT NICHTIG,H,IP RIGHT CESSATION,DEAD,False
1289,DE,V492,-,SPC REGARDED AS ANNULLED CAUSED BY LAPSE OF BASIC PATENT,SCHUTZZERTIFIKAT GILT WEGEN ERLOESCHEN DES GRUNDPATENTS ALS NICHTIG,H,IP RIGHT CESSATION,DEAD,False
1290,DE,V507,,"INTERNAL CHANGE IN THE STATE OF PROCEEDINGS OF SPC, SPC APPLIED","INTERNE BERICHTIGUNG DES VERFAHRENSTANDES DURCHGEFUEHRT, ZERTIFIKAT BEANTRAGT",,,NEUTRAL,False
1291,DE,WID1,-,REVOCATION BY DECISION OF THE PATENT DEPARTMENT,WIDERRUF DURCH BESCHLUSS DER PATENTABTEILUNG,,,DEAD,False
1292,DE,XX,,MISCELLANEOUS:,DIVERSES:,,,NEUTRAL,False
1293,DE,ZPFA,,FILING OF CERTIFICATE FOR PLANT PROTECTION,ZERTIFIKATSANMELDUNG FUER PFLANZENSCHUTZ,,,NEUTRAL,False
1294,DE,ZPFE,+,GRANT OF CERTIFICATE FOR PLANT PROTECTION,ZERTIFIKATSERTEILUNG FUER PFLANZENSCHUTZ,,,ALIVE,False
1295,DE,ZPFN,-,CERTIFICATE FOR PLANT PROTECTION SETTLED OR VOID,ZERTIFIKAT FUER PFLANZENSCHUTZ ERLEDIGT ODER NICHTIG,,,DEAD,False
1296,DE,ZPZA,-,REFUSAL OF APPLICATION OF CERTIFICATE FOR PLANT PROTECTION,ZURUECKWEISUNG DER ZERTIFIKATSANMELDUNG FUER PFLANZENSCHUTZ,,,PENDING,False
1297,DE,ZPZG,-,WITHDRAWAL OF APPLICATION OF CERTIFICATE FOR PLANT PROTECTION,ZURUECKNAHME DER ZERTIFIKATSANMELDUNG FUER PFLANZENSCHUTZ,,,DEAD,False
1298,DE,ZTFA,,FILING OF CERTIFICATE,ZERTIFIKATSANMELDUNG,,,NEUTRAL,False
1299,DE,ZTFE,+,GRANT OF CERTIFICATE,ZERTIFIKATSERTEILUNG,,,ALIVE,False
1300,DE,ZTFN,-,CERTIFICATE SETTLED OR VOID,ZERTIFIKAT ERLEDIGT ODER NICHTIG,,,DEAD,False
1301,DE,ZTZA,-,REFUSAL OF APPLICATION FOR CERTIFICATE,ZURUECKWEISUNG DER ZERTIFIKATSANMELDUNG,,,PENDING,False
1302,DE,ZTZG,-,WITHDRAWAL OF APPLICATION FOR CERTIFICATE,ZURUECKNAHME DER ZERTIFIKATSANMELDUNG,,,DEAD,False
1303,DK,A0,+,APPLICATION FILED,APPLICATION FILED,,,PENDING,False
1304,DK,AGE,+,RE-ESTABLISHMENT OF RIGHTS: APPROVED,GENOPTAGELSE IMOEDEKOMMET,K,IP RIGHT REVIVAL,ALIVE,False
1305,DK,AHB,-,APPLICATION SHELVED DUE TO NON-PAYMENT,ANSOEGNING HENLAGT P.G.A. MANGLENDE BETALING,B,APPLICATION DISCONTINUATION,DEAD,False
1306,DK,AHS,-,APPLICATION SHELVED FOR OTHER REASONS THAN NON-PAYMENT,ANSOEGNING HENLAGT AF ANDRE GRUNDE,B,APPLICATION DISCONTINUATION,DEAD,False
1307,DK,ARF,-,APPLICATION REFUSED,ANSOEGNING AFSLAAET,B,APPLICATION DISCONTINUATION,DEAD,False
1308,DK,ATS,-,APPLICATION WITHDRAWN,ANSOEGNING TILBAGETAGET,B,APPLICATION DISCONTINUATION,DEAD,False
1309,DK,B1,+,PATENT GRANTED (LAW 1993),PATENT GRANTED (LAW 1993),F,IP RIGHT GRANT,ALIVE,True
1310,DK,B2,+,PATENT AMENDED (LAW 1993),PATENT AMENDED (LAW 1993),P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
1311,DK,B3,+,PATENT SPECIFICATION AMENDED AFTER ADMINISTRATIVE REEXAMINATION (ACC. PATENT LAW 1993),PATENT AFTER REEX (LAW 1993),P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
1312,DK,BP,+,CORRECTION OF LAPSE OF PATENT,CORRECTION OF LAPSE OF PATENT,,,NEUTRAL,False
1313,DK,CTFF,,APPLICATION FOR SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) FILED,ANSOEGNING OM SUPPLERENDE BESKYTTELSESCERTIFIKAT (SPC) INDLEVERET,G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
1314,DK,CTFG,+,SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) ISSUED,SUPPLERENDE BESKYTTELSESCERTIFIKAT (SPC) MEDDELT,G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
1315,DK,CTFL,-,SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) LAPSED,SUPPLERENDE BESKYTTELSESCERTIFIKAT (SPC) BORTFALDET,H,IP RIGHT CESSATION,DEAD,False
1316,DK,CTFW,-,"SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) WITHDRAWN, REFUSED OR DEEMED WITHDRAWN","SUPPLERENDE BESKYTTELSESCERTIFIKAT (SPC) TILBAGETAGET, AFSLAAET ELLER HENLAGT",G,PROTECTION BEYOND IP RIGHT TERM,NEUTRAL,False
1317,DK,CTGE,+,RE-ESTABLISHMENT OF SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) APPLICATION,GENOPRETTELSE AF SUPPLERENDE BESKYTTELSESCERTIFIKAT (SPC) ANSOGNINGER,G,PROTECTION BEYOND IP RIGHT TERM,ALIVE,False
1318,DK,CUG,-,SUPPLEMENTARY PROTECTION CERTIFICATE (SPC) REVOKED,SUPPLERENDE BESKYTTDELSESCERTIFIKAT (SPC) UGYLDIGKENDT,H,IP RIGHT CESSATION,DEAD,False
1319,DK,EAP,-,EP PATENT SURRENDERED,EP PATENTET AFKALDT,H,IP RIGHT CESSATION,DEAD,False
1320,DK,EAU,-,EP PATENT REVOKED,EP PATENT UGYLDIGKENDT,,,DEAD,False
1321,DK,EBP,-,EP PATENT LAPSED,EP PATENTET BORTFALDET,H,IP RIGHT CESSATION,DEAD,False
1322,DK,EDA,,DECISION ON ADMINISTRATIVE RE-EXAMINATION: PATENT MAINTAINED AS UNAMENDED,ADMINISTRATIV OMPROEVNING: PATENT OPRETHOLDT UAENDRET,M,IP RIGHT MAINTENANCE,PENDING,False
1323,DK,EDD,,DECISION ON ADMINISTRATIVE RE-EXAMINATION: PATENT MAINTAINED AS AMENDED,ADMINISTRATIV OMPROEVNING: PATENT OPRETHOLDT AENDRET,M,IP RIGHT MAINTENANCE,PENDING,False
1324,DK,EDF,,REQUEST FOR ADMINISTRATIVE RE-EXAMINATION REFUSED,ADMINISTRATIV OMPROEVNING: ANMODNING AFVIST,,,PENDING,False
1325,DK,EDS,,REQUEST FOR ADMINISTRATIVE RE-EXAMINATION WITHDRAWN,ANMODNING OM ADMINISTRATIV OMPROEVNING TILBAGETAGET,,,PENDING,False
1326,DK,EDV,-,DECISION ON ADMINISTRATIVE RE-EXAMINATION: PATENT WITHDRAWN,PATENT ERKLAERET OPHAEVET EFTER ADMINISTRATIV OMPROVNING,H,IP RIGHT CESSATION,DEAD,False
1327,DK,EGA,-,DECISION ON RE-ESTABLISHMENT OF RIGHTS: REFUSED,GENOPTAGELSE: AFSLAAET,,,UNKNOWN,False
1328,DK,EGB,,REQUEST FOR RE-ESTABLISHMENT OF RIGHTS,GENOPTAGELSE BEGAERET,K,IP RIGHT REVIVAL,NEUTRAL,False
1329,DK,EGE,+,RE-ESTABLISHMENT OF RIGHTS: APPROVED,GENOPTAGELSE IMOEDEKOMMET,K,IP RIGHT REVIVAL,ALIVE,False
1330,DK,ERA,,REQUEST FOR ADMINISTRATIVE RE-EXAMINATION FILED,ANMODNING OM ADMINISTRATIV OMPROEVNING,L,IP RIGHT REVIEW REQUEST,PENDING,False
1331,DK,EUG,-,EP PATENT REVOKED,EP PATENTET UGYLDIGKENDT,H,IP RIGHT CESSATION,DEAD,False
1332,DK,EUP,-,EP PATENT EXPIRED,EP PATENTET UDLOEBET,H,IP RIGHT CESSATION,DEAD,False
1333,DK,PAB,+,APPLICATION PUBLISHED ON REQUEST,ANSOEGNING ALM. TILGAENGELIG PA BEGAERING,Q,DOCUMENT PUBLICATION,PENDING,False
1334,DK,PAT,+,APPLICATION PUBLISHED,ANSOEGNING ALM. TILGAENGELIG,Q,DOCUMENT PUBLICATION,PENDING,False
1335,DK,PAU,-,RE-EXAMINATION: PATENT INVALID,ADMINISTRATIV OMPROEVNING: PATENT KENDT UGYLDIGT,,,DEAD,False
1336,DK,PBP,-,PATENT LAPSED,PATENTET BORTFALDET,H,IP RIGHT CESSATION,DEAD,False
1337,DK,PDA,+,DECISION ON ADMINISTRATIVE RE-EXAMINATION: PATENT MAINTAINED AS UNAMENDED,ADMINISTRATIV OMPROEVNING: PATENT OPRETHOLDT UAENDRET,M,IP RIGHT MAINTENANCE,ALIVE,False
1338,DK,PDD,,RE-EXAMINATION: PATENT MAINTAINED AS AMENDED,ADMINISTRATIV OMPROEVNING: PATENT OPRETHOLDT I AENDRET FORM,M,IP RIGHT MAINTENANCE,PENDING,False
1339,DK,PDF,-,REQUEST FOR ADMINISTRATIVE RE-EXAMINATION REFUSED,ADMINISTRATIV OMPROEVNING: ANMODNING AFVIST,,,PENDING,False
1340,DK,PDP,+,DECISION ON OPPOSITION,INDSIGELSE,L,IP RIGHT REVIEW REQUEST,UNKNOWN,False
1341,DK,PDQ,+,REQUEST FOR OPPOSITION WITHDRAWN,INDSIGELSE TILBAGETAGET,L,IP RIGHT REVIEW REQUEST,UNKNOWN,False
1342,DK,PDS,-,REQUEST FOR ADMINISTRATIVE RE-EXAMINATION WITHDRAWN,ANMODNING OM ADMINISTRATIV OMPROEVNING TILBAGETAGET,L,IP RIGHT REVIEW REQUEST,PENDING,False
1343,DK,PDU,+,DECISION ON OPPOSITION: PATENT MAINTAINED AS UNAMENDED,INDSIGELSE: PATENT OPRETHOLDT UAENDRET,M,IP RIGHT MAINTENANCE,ALIVE,False
1344,DK,PDV,-,PATENT CEASED,PATENT OPHAEVET,,,DEAD,False
1345,DK,PGA,-,DECISION ON RE-ESTABLISHMENT OF RIGHTS: REFUSED,GENOPTAGELSE: AFSLAAET,,,UNKNOWN,False
1346,DK,PGB,,REQUEST FOR RE-ESTABLISHMENT OF RIGHTS,GENOPTAGELSE BEGAERET,,,NEUTRAL,False
1347,DK,PGE,+,RE-ESTABLISHMENT OF RIGHTS: APPROVED,GENOPTAGELSE IMOEDEKOMMET,K,IP RIGHT REVIVAL,ALIVE,False
1348,DK,PHB,-,APPLICATION DEEMED WITHDRAWN DUE TO NON-PAYMENT OR OTHER REASONS,ANSOEGNING HENLAGT P.G.A. MANGLENDE BETALING ELLER ANDRE GRUNDE,B,APPLICATION DISCONTINUATION,DEAD,False
1349,DK,PHS,-,APPLICATION SHELVED FOR OTHER REASONS THAN NON-PAYMENT,ANSOEGNING HENLAGT AF ANDRE GRUNDE,B,APPLICATION DISCONTINUATION,DEAD,False
1350,DK,PIA,,OPPOSITION: PATENT MAINTAINED AS AMENDED,INDSIGELSE: PATENT OPRETHOLDT I AENDRET FORM,M,IP RIGHT MAINTENANCE,NEUTRAL,False
1351,DK,PIU,-,OPPOSITION: PATENT INVALID,INDSIGELSE: PATENT KENDT UGYLDIGT,H,IP RIGHT CESSATION,DEAD,False
1352,DK,PME,+,PATENT GRANTED,PATENT MEDDELT,F,IP RIGHT GRANT,ALIVE,True
1353,DK,PPF,,OPPOSITION FILED,INDSIGELSE INDLEVERET,L,IP RIGHT REVIEW REQUEST,NEUTRAL,False
1354,DK,PRA,,REQUEST ON ADMINISTRATIVE RE-EXAMINATION FILED,ANMODNING OM ADMINISTRATIV OMPROEVNING,L,IP RIGHT REVIEW REQUEST,PENDING,False
1355,DK,PRF,-,APPLICATION REFUSED,ANSOEGNING AFSLAAET,B,APPLICATION DISCONTINUATION,DEAD,False
1356,DK,PSP,-,PATENT SURRENDERED,PATENTET AFKALDT,H,IP RIGHT CESSATION,DEAD,False
1357,DK,PTS,-,APPLICATION WITHDRAWN,ANSOEGNING TILBAGETAGET,B,APPLICATION DISCONTINUATION,DEAD,False
1358,DK,PUG,-,PATENT REVOKED,PATENTET UGYLDIGKENDT,H,IP RIGHT CESSATION,DEAD,False
1359,DK,PUP,-,PATENT EXPIRED,PATENTET UDLOEBET,H,IP RIGHT CESSATION,DEAD,False
1360,DK,RAHB,-,CORRECTION OF: APPLICATION SHELVED DUE TO NON-PAYMENT,CORRECTION OF: ANSOEGNING HENLAGT P.G.A. MANGLENDE BETALING,,,DEAD,False
1361,DK,RAHS,,CORRECTION OF: APPLICATION SHELVED FOR OTHER REASONS THAN NON-PAYMENT,CORRECTION OF: ANSOEGNING HENLAGT AF ANDRE GRUNDE,,,PENDING,False
1362,DK,RATS,,CORRECTION OF: APPLICATION WITHDRAWN,CORRECTION OF: ANSOEGNING TILBAGETAGET,,,PENDING,False
1363,DK,RPBP,,CORRECTION OF: PATENT LAPSED,CORRECTION OF: PATENTET BORTFALDET,,,NEUTRAL,False
1364,DK,RPC,,CORRECTION OF: GRANT (GRANT NULLIFIED),CORRECTION OF: GRANT (GRANT NULLIFIED),,,NEUTRAL,False
1365,DK,RPDA,,CORRECTION OF: DECISION ON ADMINISTRATIVE RE-EXAMINATION: PATENT MAINTAINED AS UNAMENDED,CORRECTION OF: ADMINISTRATIV OMPROEVNING: PATENT OPRETHOLDT UAENDRET,,,PENDING,False
1366,DK,RPDF,,CORRECTION OF: REQUEST FOR ADMINISTRATIVE RE-EXAMINATION REFUSED,CORRECTION OF: ADMINISTRATIV OMPROEVNING: ANMODNING AFVIST,,,PENDING,False
1367,DK,RPDQ,,CORRECTION OF: REQUEST FOR OPPOSITION WITHDRAWN,CORRECTION OF: INDSIGELSE TILBAGETAGET,,,NEUTRAL,False
1368,DK,RPDS,-,CORRECTION OF: REQUEST FOR ADMINISTRATIVE RE-EXAMINATION WITHDRAWN,CORRECTION OF: ANMODNING OM ADMINISTRATIV OMPROEVNING TILBAGETAGET,,,PENDING,False
1369,DK,RPDU,,CORRECTION OF: DECISION ON OPPOSITION: PATENT MAINTAINED AS UNAMENDED,CORRECTION OF: INDSIGELSE: PATENT OPRETHOLDT UAENDRET,,,NEUTRAL,False
1370,DK,RPDV,,CORRECTION OF: PATENT CEASED,CORRECTION OF: PATENT OPHAEVET,,,NEUTRAL,False
1371,DK,RPGA,,CORRECTION OF: DECISION ON RE-ESTABLISHMENT OF RIGHTS: REFUSED,CORRECTION OF: GENOPTAGELSE: AFSLAAET,,,NEUTRAL,False
1372,DK,RPGB,,CORRECTION OF: REQUEST FOR RE-ESTABLISHMENT OF RIGHTS,CORRECTION OF: GENOPTAGELSE BEGAERET,,,NEUTRAL,False
1373,DK,RPGE,,CORRECTION OF: RE-ESTABLISHMENT OF RIGHTS: APPROVED,CORRECTION OF: GENOPTAGELSE IMOEDEKOMMET,,,NEUTRAL,False
1374,DK,RPHB,,CORRECTION OF: APPLICATION SHELVED DUE TO NON-PAYMENT,CORRECTION OF: ANSOEGNING HENLAGT P.G.A. MANGLENDE BETALING,,,PENDING,False
1375,DK,RPHS,,CORRECTION OF: APPLICATION SHELVED FOR OTHER REASONS THAN NON-PAYMENT,CORRECTION OF: ANSOEGNING HENLAGT AF ANDRE GRUNDE,,,PENDING,False
1376,DK,RPPF,,CORRECTION OF: OPPOSITION FILED,CORRECTION OF: INDSIGELSE INDLEVERET,,,NEUTRAL,False
1377,DK,RPRA,,CORRECTION OF: REQUEST ON ADMINISTRATIVE RE-EXAMINATION FILED,CORRECTION OF: ANMODNING OM ADMINISTRATIV OMPROEVNING,,,PENDING,False
1378,DK,RPRF,,CORRECTION OF: APPLICATION REFUSED,CORRECTION OF: ANSOEGNING AFSLAAET,,,PENDING,False
1379,DK,RPSP,,CORRECTION OF: PATENT SURRENDERED,CORRECTION OF: PATENTET AFKALDT,,,NEUTRAL,False
1380,DK,RPTS,,CORRECTION OF: APPLICATION WITHDRAWN,CORRECTION OF: ANSOEGNING TILBAGETAGET,,,PENDING,False
1381,DK,RPUG,-,CORRECTION OF: PATENT REVOKED,CORRECTION OF: PATENTET UGYLDIGKENDT,,,DEAD,False
1382,DK,RPUP,,CORRECTION OF: PATENT EXPIRED,CORRECTION OF: PATENTET UDLOEBET,,,NEUTRAL,False
1383,DK,RUBP,,CORRECTION OF: UTILITY MODEL LAPSED,CORRECTION OF: BRUGSMODEL OPHAEVET,,,NEUTRAL,False
1384,DK,RUDE,,CORRECTION OF: DECISION ON TERMINATION: TOTAL TERMINATION,CORRECTION OF: RESULTAT AFANMODNING OM UDSLETTELSE: UDSLETTET,,,NEUTRAL,False
1385,DK,RUDM,,CORRECTION OF: DECISION ON TERMINATION: UTILITY MODEL MAINTAINED AS UNAMENDED,CORRECTION OF: RESULTAT AFANMODNING OM UDSLETTELSE: OPRETHOLDT UAENDRET,,,NEUTRAL,False
1386,DK,RUDV,,CORRECTION OF: UTILITY MODEL CEASED,CORRECTION OF: BRUGSMODEL OPHAEVET,,,NEUTRAL,False
1387,DK,RURA,,CORRECTION OF: REQUEST FOR TERMINATION FILED,CORRECTION OF: ANMODNING OM UDSLETTELSE,,,NEUTRAL,False
1388,DK,RUYA,,CORRECTION OF: REQUEST FOR EXAMINATION FILED,CORRECTION OF: ANMODNING OM PROEVNING,,,PENDING,False
1389,DK,RUYD,,CORRECTION OF: DECISION ON EXAMINATION: UTILITY MODEL MAINTAINED AS AMENDED,CORRECTION OF: RESULTAT AF PROEVNING: OPRETHOLDT AENDRET,,,PENDING,False
1390,DK,RUYM,,CORRECTION OF: DECISION ON EXAMINATION: UTILITY MODEL MAINTAINED AS UNAMENDED,CORRECTION OF: RESULTAT AF PROEVNING: OPRETHOLDT UAENDRET,,,PENDING,False
1391,DK,RUYT,,CORRECTION OF: DECISION ON EXAMINATION: UTILITY MODEL TERMINATED,CORRECTION OF: RESULTAT AF PROEVNING: UDSLETTET,,,PENDING,False
1392,DK,SPCE,+,FILING AN EXTENSION FOR AN SPC,ANSOGNING OM FORLAENGELSE AF CERTIFIKAT,,,UNKNOWN,False
1393,DK,SPCX,-,EXPIRY OF AN SPC,UDLOB AF SUPPLERENDE BESKYTTELSESCERTIFIKAT,,,DEAD,False
1394,DK,SPCY,-,REJECTION OF AN EXTENSION FOR AN SPC,ANMODNING OM FORLAENGELSE AFSLAET,,,UNKNOWN,False
1395,DK,SPCZ,+,GRANT OF EXTENSION FOR AN SPC,FORLAENGELSE AF CERTIFIKAT MEDDELT,,,ALIVE,False
1396,DK,T2,,CORRECTED TRANSLATION OF THE CLAIMS OF EP PATENT,AENDRET DANSK OVERSAETTELSE AF KRAV I EP ANSOEGNING,,,NEUTRAL,False
1397,DK,T3,+,EP PATENT WITH DANISH CLAIMS,EP PATENT MED KRAV OVERSAT TIL DANSK,W,OTHER,UNKNOWN,False
1398,DK,T4,,AMENDED EP PATENT WITH DANISH CLAIMS,AENDRET EP PATENT MED KRAV OVERSAT TIL DANSK,W,OTHER,NEUTRAL,False
1399,DK,T5,+,CORRECTED TRANSLATION OF EP PATENT,RETTET VERSION AF EP PATENT,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
1400,DK,T6,,EP PATENT WITH LIMITED CLAIMS,EP PATENT MED BEGRAESEDE KRAV,,,NEUTRAL,False
1401,DK,UAT,+,UTILITY MODEL PUBLISHED,BRUGSMODEL ALM. TILGAENGELIG,Q,DOCUMENT PUBLICATION,PENDING,False
1402,DK,UBP,-,UTILITY MODEL LAPSED,BRUGSMODEL OPHAEVET,H,IP RIGHT CESSATION,DEAD,False
1403,DK,UDD,,RESULT OF EXAMINATION: UTILITY MODEL MAINTAINED AS AMENDED,RESULTAT OF PROVNING: BRUGSMODEL OPRETHOLDT I AENDRET FORM,M,IP RIGHT MAINTENANCE,PENDING,False
1404,DK,UDE,-,DECISION ON TERMINATION: TOTAL TERMINATION (UTILITY MODEL),RESULTAT AF ANMODNING OM UDSLETTELSE: UDSLETTET (BRUGSMODEL),H,IP RIGHT CESSATION,DEAD,False
1405,DK,UDM,+,RESULT OF INVALIDATION REQUEST: UTILITY MODEL MAINTAINED IN FULL,RESULTAT AF ANMODNING OM UDSLETTELSE: OPRETHOLDT UAENDRET (BRUGSMODEL),M,IP RIGHT MAINTENANCE,ALIVE,False
1406,DK,UDV,-,UTILITY MODEL CEASED,BRUGSMODEL OPHAEVET,H,IP RIGHT CESSATION,DEAD,False
1407,DK,UHB,-,APPLICATION (UTILITY MODEL) SHELVED DUE TO NON-PAYMENT,ANSOEGNING HENLAGT P.G.A. MANGLENDE BETALING,B,APPLICATION DISCONTINUATION,DEAD,False
1408,DK,UME,+,UTILITY MODEL REGISTERED,BRUGSMODEL REGISTRERET,F,IP RIGHT GRANT,ALIVE,False
1409,DK,URA,-,REQUEST FOR TERMINATION FILED (UTILITY MODEL),BRUGSMODEL: ANMODNING OM UDSLETTELSE,L,IP RIGHT REVIEW REQUEST,DEAD,False
1410,DK,URF,-,UTILITY MODEL: APPLICATION REFUSED,ANSOEGNING AFSLAAET,B,APPLICATION DISCONTINUATION,DEAD,False
1411,DK,UTS,-,UTILITY MODEL APPLICATION WITHDRAWN,BROGSMODEL TILBAGETAGET,B,APPLICATION DISCONTINUATION,DEAD,False
1412,DK,UUP,-,UTILITY MODEL EXPIRED,BROGSMODEL UDLOEBET,H,IP RIGHT CESSATION,DEAD,False
1413,DK,UYA,,REQUEST FOR EXAMINATION FILED (UTILITY MODEL),ANMODNING OM PROEVNING (BRUGSMODEL),D,SEARCH AND EXAMINATION,PENDING,False
1414,DK,UYD,+,DECISION ON EXAMINATION: UTILITY MODEL MAINTAINED AS AMENDED,RESULTAT AF PROEVNING: OPRETHOLDT AENDRET (BRUGSMODEL),,,PENDING,False
1415,DK,UYM,+,RESULT OF EXAMINATION: UTILITY MODEL MAINTAINED IN FULL,RESULTAT AF PROEVNING: OPRETHOLDT UAENDRET (BRUGSMODEL),M,IP RIGHT MAINTENANCE,ALIVE,False
